"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"77","NABUS, NEWTON BONTAGUEL      NEWTON                              INDEPENDENT              12,389","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 12,389",NA,"NABUS, NEWTON BONTAGUEL","INDEPENDENT",TRUE
"78","ALANGDEO, LEONCIO LOPES      LEO                                 LABAN (LDP)              11,458","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 11,458",NA,"ALANGDEO, LEONCIO LOPES","LABAN (LDP)",TRUE
"79","BACQUIAN, JUANITO SAINGAN    BAC                                 INDEPENDENT              10,698","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 10,698",NA,"BACQUIAN, JUANITO SAINGAN","",TRUE
"80","ALUMNO, ALFREDO BELINO       BELINO                              NPC                      10,234","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 10,234",NA,"ALUMNO, ALFREDO BELINO","NPC",TRUE
"81","SAB-IT, JOSEPH DAGWASI       COMMANDER JOSEPH                    NPC                      9,175","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 9,175",NA,"SAB-IT, JOSEPH DAGWASI","NPC",TRUE
"82","BAWANG, THEODORE T.          TED                                 LAKAS NUCD-UMDP          8,842","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 8,842",NA,"BAWANG, THEODORE T.","LAKAS NUCD-UMDP",TRUE
"83","SALEY, CRESENCIO A.          CRES                                INDEPENDENT              8,132","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 8,132",NA,"SALEY, CRESENCIO A.","INDEPENDENT",TRUE
"84","OCAMPO, ORLANDO C.           ORLING                              LAKAS NUCD-UMDP          7,710","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 7,710",NA,"OCAMPO, ORLANDO C.","LAKAS NUCD-UMDP",TRUE
"85","ABALOS, GREGORIO WANDAS      -                                   LM                       7,213","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 7,213",NA,"ABALOS, GREGORIO WANDAS","",TRUE
"86","GABOL, LORENZO CANGAY        LORY                                INDEPENDENT              7,135","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 7,135",NA,"GABOL, LORENZO CANGAY","INDEPENDENT",TRUE
"87","VELASCO, REMEDIOS BELUA      LANGSA                              NPC                      6,929","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 6,929",NA,"VELASCO, REMEDIOS BELUA","NPC",TRUE
"88","BAROY, EUGENE PUGAN          AMON CHAN                           LABAN (LDP)              5,510","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 5,510",NA,"BAROY, EUGENE PUGAN","LABAN (LDP)",TRUE
"89","LAOYAN, ALBERT PANTA         BERT                                INDEPENDENT              4,258","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 4,258",NA,"LAOYAN, ALBERT PANTA","INDEPENDENT",TRUE
"90","MARTINEZ, ALBERT O.          BUGATAN                             INDEPENDENT              4,055","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 4,055",NA,"MARTINEZ, ALBERT O.","INDEPENDENT",TRUE
"91","TABINGAN, JOEL PONGCILA      JOE                                 LM                       3,205","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 3,205",NA,"TABINGAN, JOEL PONGCILA","LM",TRUE
"92","LACAMEN, LORENZO MAYOSAN     GASPI                               INDEPENDENT              2,826","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 2,826",NA,"LACAMEN, LORENZO MAYOSAN","INDEPENDENT",TRUE
"93","LAGADEO, GILBERT B.          GIL                                 LM                        397","4/11","BENGUET","CAR","board member","2ND DISTRICT"," 397",NA,"LAGADEO, GILBERT B.","LM",TRUE
"94","VERGARA, BERNARDO M.              BERNIE                              LAKAS NUCD-UMDP          48,535   May 11,1995","5/11","BENGUET","CAR","congressman","2ND DISTRICT"," 48,535","May 11,1995","VERGARA, BERNARDO M.","LAKAS NUCD-UMDP",TRUE
"95","PAREDES, ZOSIMO JESUS JR. MENDOZA JESS PAREDES                        NPC                      1,431","5/11","BENGUET","CAR","congressman","2ND DISTRICT"," 1,431",NA,"PAREDES, ZOSIMO JESUS JR. MENDOZA JESS PAREDES","",TRUE
"96","AQUINO, HONORATO YORO             HONOR                               LABAN (LDP)               914","5/11","BENGUET","CAR","congressman","2ND DISTRICT"," 914",NA,"AQUINO, HONORATO YORO","LABAN (LDP)",TRUE
"97","RAMOS, FELIPE TRIBUNALO           RANING                              INDEPENDENT                23","5/11","BENGUET","CAR","congressman","2ND DISTRICT"," 23",NA,"RAMOS, FELIPE TRIBUNALO","INDEPENDENT",TRUE
"98","*CAPPLEMAN, BENJAMIN B.        BEN                               NPC                      34,900               No date of Proclamation","6/11","IFUGAO","CAR","congressman","2ND DISTRICT"," 34,900",NA,"*CAPPLEMAN, BENJAMIN B.","NPC",TRUE
"99","LUMAUIG, GUALBERTO BUNANIG    BERT                              LAKAS NUCD-UMDP          17,619","6/11","IFUGAO","CAR","congressman","2ND DISTRICT"," 17,619",NA,"LUMAUIG, GUALBERTO BUNANIG","",TRUE
"100","DULINAYAN, ILDEFONSO NALULA   PONSO                             LABAN (LDP)              22,295   May 11,1995","6/11","IFUGAO","CAR","governor",""," 22,295","May 11,1995","DULINAYAN, ILDEFONSO NALULA   PONSO","LABAN (LDP)",FALSE
"101","PAWINGI, ALBERT DUMANGING     BERT                              NPC                      18,573","6/11","IFUGAO","CAR","governor",""," 18,573",NA,"PAWINGI, ALBERT DUMANGING","NPC",TRUE
"102","DUGYON, JOAQUIN H.            JUN                               LAKAS NUCD-UMDP          13,302","6/11","IFUGAO","CAR","governor",""," 13,302",NA,"DUGYON, JOAQUIN H.","LAKAS NUCD-UMDP",TRUE
"103","DACAWE, JUAN B.               JUN                               LABAN (LDP)              22,484   May 11,1995","6/11","IFUGAO","CAR","vice governor",""," 22,484","May 11,1995","DACAWE, JUAN B.","LABAN (LDP)",TRUE
"104","DINUMLA, HERMAN BALITANG      PASTOR                            NPC                      15,996","6/11","IFUGAO","CAR","vice governor",""," 15,996",NA,"DINUMLA, HERMAN BALITANG","NPC",TRUE
