"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"47","MALIJAN, ARTURO MALAPASCUA        ARTHUR                               LDP                      53,738","2/12","BATANGAS","04A","board member","3RD DISTRICT"," 53,738",NA,"MALIJAN, ARTURO MALAPASCUA","LDP",TRUE
"48","NONES, RONILO MONCAYO             RONNIE                               LAKAS-CMD                48,498","2/12","BATANGAS","04A","board member","3RD DISTRICT"," 48,498",NA,"NONES, RONILO MONCAYO","LAKAS-CMD",TRUE
"49","DE SAGUN, NEMESIO DE LEON         EMING                                LP                       39,184","2/12","BATANGAS","04A","board member","3RD DISTRICT"," 39,184",NA,"DE SAGUN, NEMESIO DE LEON","LP",TRUE
"50","LEVISTE, JOSE ANTONIO II SERMONIA MARC/MARK                            LAKAS-CMD               123,748   May 15,2004","2/12","BATANGAS","04A","board member","4TH DISTRICT"," 123,748","May 15,2004","LEVISTE, JOSE ANTONIO II SERMONIA MARC/MARK","",TRUE
"51","AFRICA, ROWENA SOMBRANO           WHENG                                INDEPENDENT             114,181   May 15,2004","2/12","BATANGAS","04A","board member","4TH DISTRICT"," 114,181","May 15,2004","AFRICA, ROWENA SOMBRANO","INDEPENDENT",TRUE
"52","BOLILIA, LIANDA BRUCAL            SILING LABUYO                        LAKAS-CMD                96,593   May 15,2004","2/12","BATANGAS","04A","board member","4TH DISTRICT"," 96,593","May 15,2004","BOLILIA, LIANDA BRUCAL","LAKAS-CMD",TRUE
"53","ENDAYA-TIMONES, MARISSA BANUELOS  ISSA                                 LAKAS-CMD                76,045","2/12","BATANGAS","04A","board member","4TH DISTRICT"," 76,045",NA,"ENDAYA-TIMONES, MARISSA BANUELOS  ISSA","",TRUE
"54","CHUA, WILLIAM PASIA            WILLIAM                          LP                       44,041","3/12","BATANGAS","04A","board member","4TH DISTRICT"," 44,041",NA,"CHUA, WILLIAM PASIA","LP",TRUE
"55","VIRTUSIO, GRENALYN VIRTUSIO    INENG                            LP                       40,196","3/12","BATANGAS","04A","board member","4TH DISTRICT"," 40,196",NA,"VIRTUSIO, GRENALYN VIRTUSIO","",TRUE
"56","CALINGASAN, PIO JAY SEVILLA    ""J""                              AKSYON DEMOKRATIKO       27,297","3/12","BATANGAS","04A","board member","4TH DISTRICT"," 27,297",NA,"CALINGASAN, PIO JAY SEVILLA","AKSYON DEMOKRATIKO",FALSE
"57","DELA PEÑA, EDUARDO AMPARO      DANDING                          LP                       18,907","3/12","BATANGAS","04A","board member","4TH DISTRICT"," 18,907",NA,"DELA PEÑA, EDUARDO AMPARO","LP",TRUE
"58","BALITAAN, ENRIQUE PARAL        EKING                            INDEPENDENT              4,866","3/12","BATANGAS","04A","board member","4TH DISTRICT"," 4,866",NA,"BALITAAN, ENRIQUE PARAL","INDEPENDENT",TRUE
"59","ABAYA, JOSEPH EMILIO AGUINALDO        JUN                                  LP                      144,409   May 17,2004","4/12","CAVITE","04A","congressman","1ST DISTRICT"," 144,409","May 17,2004","ABAYA, JOSEPH EMILIO AGUINALDO","LP",TRUE
"60","ENCARNACION, TIMOTEO JR. ORDOÑEZ      TIM                                  LDP (PARTIDO MAGDALO)    56,144","4/12","CAVITE","04A","congressman","1ST DISTRICT"," 56,144",NA,"ENCARNACION, TIMOTEO JR. ORDOÑEZ","",TRUE
"61","PEYUAN, ROGELIO CASTILLO              ROGER                                LAKAS-CMD                6,494","4/12","CAVITE","04A","congressman","1ST DISTRICT"," 6,494",NA,"PEYUAN, ROGELIO CASTILLO","LAKAS-CMD",TRUE
"62","TOCMO, ANTONIO JR. LORETE             JR                                   DGIPP                     280","4/12","CAVITE","04A","congressman","1ST DISTRICT"," 280",NA,"TOCMO, ANTONIO JR. LORETE","DGIPP",TRUE
"63","REMULLA, GILBERT CESAR CATIBAYAN      GILBERT                              LDP                     256,299   May 17,2004","4/12","CAVITE","04A","congressman","2ND DISTRICT"," 256,299","May 17,2004","REMULLA, GILBERT CESAR CATIBAYAN","LDP",TRUE
"64","BENEDICTO, JOSE CAMACLANG             PING                                 LAKAS-CMD                53,550","4/12","CAVITE","04A","congressman","2ND DISTRICT"," 53,550",NA,"BENEDICTO, JOSE CAMACLANG","LAKAS-CMD",TRUE
"65","UNASCO, FEDELINA PAYAPAYA             FAITH                                DGIPP                    1,396","4/12","CAVITE","04A","congressman","2ND DISTRICT"," 1,396",NA,"UNASCO, FEDELINA PAYAPAYA","DGIPP",TRUE
"66","REMULLA, JESUS CRISPIN CATIBAYAN      BOYING                               LDP/MAGDALO              85,765   May 14,2004","4/12","CAVITE","04A","congressman","3RD DISTRICT"," 85,765","May 14,2004","REMULLA, JESUS CRISPIN CATIBAYAN","LDP/MAGDALO",TRUE
"67","MADLANSACAY, RUBEN MONTOYA            BEN                                  INDEPENDENT              79,929","4/12","CAVITE","04A","congressman","3RD DISTRICT"," 79,929",NA,"MADLANSACAY, RUBEN MONTOYA","INDEPENDENT",TRUE
"68","TOLENTINO, DOMINGO JR. RAZON          DR. T                                LAKAS-CMD                26,596","4/12","CAVITE","04A","congressman","3RD DISTRICT"," 26,596",NA,"TOLENTINO, DOMINGO JR. RAZON","LAKAS-CMD",TRUE
"69","GALANG, RONALD VELANDO                RONALD                               DGIPP                     161","4/12","CAVITE","04A","congressman","3RD DISTRICT"," 161",NA,"GALANG, RONALD VELANDO","DGIPP",TRUE
"70","MALIKSI, ERINEO SAQUILAYAN            AYONG                                LDP                     605,376   May 17,2004","4/12","CAVITE","04A","governor",""," 605,376","May 17,2004","MALIKSI, ERINEO SAQUILAYAN","LDP",TRUE
"71","VELASCO, EPIMACO ARDINA               EPI                                  LAKAS-CMD               214,083","4/12","CAVITE","04A","governor",""," 214,083",NA,"VELASCO, EPIMACO ARDINA","LAKAS-CMD",TRUE
"72","UY, VIRGINIA PARMIS                   VIRGIE                               DGIPP                    2,008","4/12","CAVITE","04A","governor",""," 2,008",NA,"UY, VIRGINIA PARMIS","DGIPP",TRUE
"73","REMULLA, JUANITO VICTOR JR. CATIBAYAN JONVIC                               LDP                     587,188   May 17,2004","4/12","CAVITE","04A","vice governor",""," 587,188","May 17,2004","REMULLA, JUANITO VICTOR JR. CATIBAYAN JONVIC","",TRUE
"74","BAYBAY, ROLANDO FORTUNO               ROLLIE                               LAKAS-CMD               117,077","4/12","CAVITE","04A","vice governor",""," 117,077",NA,"BAYBAY, ROLANDO FORTUNO","LAKAS-CMD",TRUE
"75","MORALES, BENILDA CARIÑO               BENNY                                DGIPP                    14,443","4/12","CAVITE","04A","vice governor",""," 14,443",NA,"MORALES, BENILDA CARIÑO","DGIPP",TRUE
"76","DEL ROSARIO, CESARIO JR. RAMOS        JUN DEL ROSARIO                      LAKAS-CMD                98,949   May 17,2004","4/12","CAVITE","04A","board member","1ST DISTRICT"," 98,949","May 17,2004","DEL ROSARIO, CESARIO JR. RAMOS","LAKAS-CMD",TRUE
"77","PAGTAKHAN, LUIS TORIBIO               DOC                                  NACIONALISTA PARTY       89,428   May 17,2004","4/12","CAVITE","04A","board member","1ST DISTRICT"," 89,428","May 17,2004","PAGTAKHAN, LUIS TORIBIO","NACIONALISTA PARTY",TRUE
"78","RODRIGUEZ, RAFAEL SAMOY               RAFFY                                LDP                      83,397   May 17,2004","4/12","CAVITE","04A","board member","1ST DISTRICT"," 83,397","May 17,2004","RODRIGUEZ, RAFAEL SAMOY","LDP",TRUE
"79","ENRIQUEZ, SATURNINO JR. FONACIER      SCAP                                 NACIONALISTA PARTY       69,404","4/12","CAVITE","04A","board member","1ST DISTRICT"," 69,404",NA,"ENRIQUEZ, SATURNINO JR. FONACIER","NACIONALISTA PARTY",TRUE
"80","RAMOS, ROMEO GAUDIER                  OHMEE                                LDP                      68,609","4/12","CAVITE","04A","board member","1ST DISTRICT"," 68,609",NA,"RAMOS, ROMEO GAUDIER","LDP",TRUE
