"","V1","page","province","region","position","district","votes","proclamation_date","name","party","has_nickname"
"42","LEGASPI, FE ABELEDA             FEPOT                              NPC                      29,101   May 14,2004","3/10","OCCIDENTAL MINDORO","04B","board member","1ST DISTRICT"," 29,101","May 14,2004","LEGASPI, FE ABELEDA","NPC",TRUE
"43","MINTU, MANUEL JR. TEAÑO         BOYET                              LDP                      28,632   May 14,2004","3/10","OCCIDENTAL MINDORO","04B","board member","1ST DISTRICT"," 28,632","May 14,2004","MINTU, MANUEL JR. TEAÑO","LDP",TRUE
"44","ABELEDA, ARNOLD TARRIELA        NOLI                               NPC                      27,682   May 14,2004","3/10","OCCIDENTAL MINDORO","04B","board member","1ST DISTRICT"," 27,682","May 14,2004","ABELEDA, ARNOLD TARRIELA","NPC",TRUE
"45","BENASAS, MELITON JR. INSIGNE    JUN                                LAKAS-CMD                27,675","3/10","OCCIDENTAL MINDORO","04B","board member","1ST DISTRICT"," 27,675",NA,"BENASAS, MELITON JR. INSIGNE","",TRUE
"46","CALABIO, EDGAR PASCUAL          PA                                 LAKAS-CMD                21,332","3/10","OCCIDENTAL MINDORO","04B","board member","1ST DISTRICT"," 21,332",NA,"CALABIO, EDGAR PASCUAL","LAKAS-CMD",TRUE
"47","NIEBRES, FRANCISCO VILLAROSA    PAQUITO                            LAKAS-CMD                17,635","3/10","OCCIDENTAL MINDORO","04B","board member","1ST DISTRICT"," 17,635",NA,"NIEBRES, FRANCISCO VILLAROSA","",TRUE
"48","SERVANDO, CESAR JR. ZOLETA      BONG                               LAKAS-CMD                17,217","3/10","OCCIDENTAL MINDORO","04B","board member","1ST DISTRICT"," 17,217",NA,"SERVANDO, CESAR JR. ZOLETA","LAKAS-CMD",TRUE
"49","RIMANDO, ERNESTO DEL ROSARIO    ERNING                             LAKAS-CMD                16,256","3/10","OCCIDENTAL MINDORO","04B","board member","1ST DISTRICT"," 16,256",NA,"RIMANDO, ERNESTO DEL ROSARIO","",TRUE
"50","ROSALES, CAREN AMBROSIO         KAREN                              INDEPENDENT              14,386","3/10","OCCIDENTAL MINDORO","04B","board member","1ST DISTRICT"," 14,386",NA,"ROSALES, CAREN AMBROSIO","INDEPENDENT",TRUE
"51","ULAYAO, RONALD FABRE            MEDIA                              INDEPENDENT              2,338","3/10","OCCIDENTAL MINDORO","04B","board member","1ST DISTRICT"," 2,338",NA,"ULAYAO, RONALD FABRE","INDEPENDENT",TRUE
"52","LADAGA, REY CAJAYON             REY                                LAKAS-CMD                32,885   May 14,2004","3/10","OCCIDENTAL MINDORO","04B","board member","2ND DISTRICT"," 32,885","May 14,2004","LADAGA, REY CAJAYON","LAKAS-CMD",TRUE
"53","JARAVATA, ERNESTO FERNANDEZ     ERNING                             LDP                      30,673   May 14,2004","3/10","OCCIDENTAL MINDORO","04B","board member","2ND DISTRICT"," 30,673","May 14,2004","JARAVATA, ERNESTO FERNANDEZ","LDP",TRUE
"54","CRUZ, NATHANIEL DEMERIN         KUYA NATHAN                        NPC                      29,271   May 14,2004","3/10","OCCIDENTAL MINDORO","04B","board member","2ND DISTRICT"," 29,271","May 14,2004","CRUZ, NATHANIEL DEMERIN","NPC",TRUE
"55","JAVIER, ULYSSES PASION          ULY                                LAKAS-CMD                28,190   May 14,2004","3/10","OCCIDENTAL MINDORO","04B","board member","2ND DISTRICT"," 28,190","May 14,2004","JAVIER, ULYSSES PASION","LAKAS-CMD",TRUE
"56","CAMANDANG, VICENTE LEGASPI      BOYING                             LAKAS-CMD                23,750   May 14,2004","3/10","OCCIDENTAL MINDORO","04B","board member","2ND DISTRICT"," 23,750","May 14,2004","CAMANDANG, VICENTE LEGASPI","LAKAS-CMD",TRUE
"57","AGAS, RODERICK QUIBIN         ROD                             LAKAS-CMD                23,537","4/10","OCCIDENTAL MINDORO","04B","board member","2ND DISTRICT"," 23,537",NA,"AGAS, RODERICK QUIBIN","LAKAS-CMD",TRUE
"58","ALMOGELA, WILLIAM FERRER      ALMO                            NPC                      20,501","4/10","OCCIDENTAL MINDORO","04B","board member","2ND DISTRICT"," 20,501",NA,"ALMOGELA, WILLIAM FERRER","NPC",TRUE
"59","ABELEDA, EDGARDO SESE         GUY                             LDP                      18,266","4/10","OCCIDENTAL MINDORO","04B","board member","2ND DISTRICT"," 18,266",NA,"ABELEDA, EDGARDO SESE","LDP",TRUE
"60","CASPE, JULIO MERIDA           JOLLY                           LAKAS-CMD                15,840","4/10","OCCIDENTAL MINDORO","04B","board member","2ND DISTRICT"," 15,840",NA,"CASPE, JULIO MERIDA","LAKAS-CMD",TRUE
"61","GABUTERO, LEONARD CASIDSID    TOTOY                           NPC                      11,806","4/10","OCCIDENTAL MINDORO","04B","board member","2ND DISTRICT"," 11,806",NA,"GABUTERO, LEONARD CASIDSID","",TRUE
"62","LEDESMA, THOMAS BLANCIA       TOM                             INDEPENDENT              5,199","4/10","OCCIDENTAL MINDORO","04B","board member","2ND DISTRICT"," 5,199",NA,"LEDESMA, THOMAS BLANCIA","INDEPENDENT",TRUE
